SP;KM ;LOCALIZAÇÃO;MUNICÍPIO;TIPO
SP 259;312;-23.94104, -49.05913;Itaberá;Terra
SP 259;312;-23.94104, -49.05913;Itaberá;Terra
SP 259;313;-23.95031, -49.06330;Itaberá;Terra
SP 259;313;-23.95028, -49.06329;Itaberá;Terra
SP 259;314;-23.95689, -49.06872;Itaberá;Terra
SP 259;314;-23.95686, -49.06871;Itaberá;Terra
SP 259;315;-23.96599, -49.06995;Itaberá;Terra
SP 259;315;-23.96594, -49.06994;Itaberá;Terra
SP 259;316;-23.97472, -49.07268;Itaberá;Terra
SP 259;316;-23.97477, -49.07272;Itaberá;Terra
SP 259;317;-23.98125, -49.07911;Itaberá;Terra
SP 259;317;-23.98119, -49.07898;Itaberá;Terra
SP 259;318;-23.98720, -49.08515;Itaberá;Terra
SP 259;318;-23.98718, -49.08515;Itaberá;Terra
SP 259;319;-23.99610, -49.08124;Itaberá;Terra
SP 259;319;-23.99606, -49.08122;Itaberá;Terra
SP 259;320;-24.00419, -49.07968;Itaberá;Terra
SP 259;320;-24.00419, -49.07968;Itaberá;Terra
SP 259;321;-24.01160, -49.08595;Itaberá;Terra
SP 259;321;-24.01155, -49.08591;Itaberá;Terra
SP 259;322;-24.01930, -49.09118;Itaberá;Terra
SP 259;322;-24.01930, -49.09118;Itaberá;Terra
SP 259;323;-24.02204, -49.09853;Itaberá;Terra
SP 259;324;-24.02637, -49.10672;Itaberá;Terra
SP 259;325;-24.03167, -49.11406;Itaberá;Terra
SP 259;326;-24.03104, -49.12348;Itaberá;Terra
SP 259;327,2;-24.02341, -49.13261;Itaberá;Terra
SP 259;328;-24.02216, -49.13953;Itaberá;Terra
SP 259;329;-24.02721, -49.14540;Itaberá;Terra
SP 259;330;-24.02721, -49.14540;Itaberá;Terra
SP 259;331;-24.03643, -49.16136;Itaberá;Terra
SP 259;333;-24.03285, -49.18065;Itaberá;Terra
SP 259;334;-24.02970, -49.18988;Itaberá;Terra
SP 259;335;-24.02961, -49.20045;Itaberá;Terra
SP 259;336;-24.03194, -49.20678;Itaberá;Terra
SP 259;337;-24.04157, -49.21383;Itaberá;Terra
SP 259;338;-24.04989, -49.21464;Itaberá;Terra
SP 259;339;-24.05863, -49.21474;Itaberá;Terra
SP 259;340;-24.06638, -49.21916;Itaberá;Terra
SP 259;341;-24.07432, -49.22367;Itaberá;Terra
SP 259;342;-24.08328, -49.22837;Itaberá;Terra
SP 259;343,7;-24.09469, -49.23607;Itaberá;Terra
SP 259;343,7;-24.09469, -49.23606;Itaberá;Terra
SP 259;344;-24.09704, -49.23770;Itaberá;Terra
SP 259;344;-24.09705, -49.23771;Itaberá;Terra
SP 259;345;-24.10291, -49.24548;Itaberá;Terra
SP 259;345;-24.10291, -49.24548;Itaberá;Terra
SP 259;346;-24.10723, -49.25471;Itaberá;Terra
SP 259;346;-24.10723, -49.25462;Itaberá;Terra
SP 259;347;-24.11099, -49.26393;Itaberá;Terra
SP 259;347;-24.11097, -49.26389;Itaberá;Terra
SP 259;348;-24.11687, -49.27155;Itaberá;Terra
SP 259;348;-24.11688, -49.27150;Itaberá;Terra
SP 259;349;-24.12293, -49.27835;Itaberá;Terra
SP 259;349;-24.12292, -49.27835;Itaberá;Terra
SP 259;350;-24.12102, -49.28753;Itaberá;Terra
SP 259;350;-24.12104, -49.28748;Itaberá;Terra
SP 259;351;-24.11763, -49.29543;Itaberá;Terra
SP 259;351;-24.11763, -49.29543;Itaberá;Terra
SP 259;352;-24.11515, -49.30531;Itaberá;Terra
SP 259;352;-24.11517, -49.30525;Itaberá;Terra
SP 259;353;-24.11078, -49.31509;Itaberá;Terra
SP 259;353;-24.11078, -49.31509;Itaberá;Terra
SP 268;118,3;-23.50473, -47.62211;Araçoiaba da Serra;Simples
SP 267;322,3;-23.86030, -49.12858;Itaberá;Simples
SP 267;323;-23.86571, -49.13196;Itaberá;Simples
SP 267;324;-23.87442, -49.13450;Itaberá;Simples
SP 267;325;-23.88189, -49.13739;Itaberá;Simples
SP 267;326;-23.88991, -49.13986;Itaberá;Simples
SP 267;327;-23.89903, -49.13733;Itaberá;Simples
SP 267;328;-23.90845, -49.14022;Itaberá;Simples
SP 267;329;-23.91649, -49.13658;Itaberá;Simples
SP 267;330;-23.92479, -49.13910;Itaberá;Simples
SP 267;331;-23.93404, -49.14062;Itaberá;Simples
SP 267;332;-23.94267, -49.13622;Itaberá;Simples
SP 267;333;-23.95198, -49.13574;Itaberá;Simples
SP 267;334;-23.96134, -49.13665;Itaberá;Simples
SP 267;335;-23.97035, -49.13932;Itaberá;Simples
SP 267;336;-23.97946, -49.14188;Itaberá;Simples
SP 267;337;-23.98837, -49.13966;Itaberá;Simples
SP 267;338;-23.99749, -49.13752;Itaberá;Simples
SP 267;339;-24.00672, -49.13561;Itaberá;Simples
SP 267;340;-24.01608, -49.13512;Itaberá;Simples
SP 267;341;-24.02394, -49.13147;Itaberá;Simples
SP 267;342;-24.03039, -49.12428;Itaberá;Simples
SP 267;343;-24.03948, -49.12270;Itaberá;Simples
SP 267;344;-24.04844, -49.12221;Itaberá;Simples
SP 267;345;-24.05792, -49.12218;Itaberá;Simples
SP 267;346;-24.06650, -49.12401;Itaberá;Simples
SP 267;346,5;-24.07139, -49.12509;Itaberá;Simples
SP 268;119;-23.50352, -47.62478;Araçoiaba da Serra;Simples
SP 268;120;-23.50180, -47.62830;Araçoiaba da Serra;Simples
SP 268;121;-23.49779, -47.63894;Araçoiaba da Serra;Simples
SP 268;122;-23.49519, -47.64678;Araçoiaba da Serra;Simples
SP 268;123;-23.48783, -47.66357;Araçoiaba da Serra;Simples
SP 268;124;-23.48768, -47.66376;Araçoiaba da Serra;Simples
SP 268;125;-23.48360, -47.67211;Capela do Alto;Simples
SP 268;126;-23.47612, -47.69110;Capela do Alto;Simples
SP 268;127;-23.47455, -47.69855;Capela do Alto;Simples
SP 268;128;-23.54941, -47.66013;Capela do Alto;Simples
SP 268;129;-23.47029, -47.72478;Capela do Alto;Simples
SP 268;130;-23.46255, -47.72497;Capela do Alto;Simples
SP 268;131;-23.46706, -47.73140;Capela do Alto;Simples
SP 268;133;-23.48011, -47.74191;Capela do Alto;Terra
SP 268;134;-23.48479, -47.74775;Capela do Alto;Terra
SP 268;135;-23.48345, -47.75800;Capela do Alto;Terra
SP 268;136;-23.48574, -47.76691;Capela do Alto;Terra
SP 268;137;-23.48439, -47.77760;Capela do Alto;Terra
SP 268;138;-23.48037, -47.78584;Capela do Alto;Terra
SP 268;139;-23.48037, -47.78579;Capela do Alto;Terra
SP 268;140;-23.48839, -47.80088;Capela do Alto;Terra
SP 268;140;-23.48836, -47.80099;Capela do Alto;Terra
SP 268;141,1;-23.49384, -47.81029;Alambari;Terra
SP 268;142;-23.49899, -47.81720;Alambari;Terra
SP 268;143;-23.50605, -47.82495;Alambari;Terra
SP 268;144;-23.51338, -47.82729;Alambari;Terra
SP 268;145;-23.52175, -47.82995;Alambari;Terra
SP 268;146;-23.53126, -47.83120;Alambari;Terra
SP 268;147;-23.54007, -47.83237;Alambari;Terra
SP 268;148;-23.54756, -47.83809;Alambari;Terra
SP 268;149;-23.55369, -47.84373;Alambari;Terra
SP 268;150;-23.55899, -47.85160;Alambari;Terra
SP 268;151;-23.55634, -47.86103;Alambari;Terra
SP 268;152;-23.55416, -47.86874;Alambari;Terra
SP 268;154;-23.56496, -47.88829;Alambari;Simples
SP 268;155;-23.54796, -47.89349;Alambari;Simples
SP 268;156;-23.55132, -47.90423;Alambari;Simples
SP 268;157;-23.54780, -47.91299;Alambari;Simples
SP 268;158;-23.55161, -47.92189;Alambari;Simples
SP 268;159;-23.55253, -47.93210;Alambari;Simples
SP 268;160;-23.55237, -47.94099;Alambari;Simples
SP 268;161;-23.55117, -47.95178;Alambari;Simples
SP 268;162;-23.54319, -47.96590;Itapetininga;Simples
SP 268;163;-23.56077, -47.96693;Itapetininga;Simples
SP 268;164;-23.56726, -47.97352;Itapetininga;Simples
SP 268;176,78;-23.55186, -48.09513;Itapetininga;Terra
SP 268;177;-23.55237, -48.09708;Itapetininga;Terra
SP 268;178;-23.55496, -48.10663;Itapetininga;Terra
SP 268;179;-23.55745, -48.11255;Itapetininga;Terra
SP 268;180;-23.56036, -48.12036;Itapetininga;Terra
SP 268;181;-23.55651, -48.12617;Itapetininga;Terra
SP 268;182;-23.55335, -48.13061;Itapetininga;Terra
SP 268;183;-23.54850, -48.13561;Itapetininga;Terra
SP 268;184;-23.55181, -48.14298;Itapetininga;Terra
SP 268;185;-23.54800, -48.14911;Itapetininga;Terra
SP 268;186;-23.54267, -48.15550;Itapetininga;Terra
SP 268;187;-23.53734, -48.16190;Itapetininga;Terra
SP 268;188;-23.53098, -48.16941;Itapetininga;Terra
SP 268;190;-23.52120, -48.18026;Itapetininga;Terra
SP 268;191;-23.52221, -48.18894;Itapetininga;Terra
SP 268;193;-23.51474, -48.20124;Itapetininga;Terra
SP 268;194;-23.51949, -48.21012;Itapetininga;Terra
SP 268;195;-23.52433, -48.21793;Itapetininga;Terra
SP 268;196;-23.52899, -48.22106;Itapetininga;Terra
SP 268;197;-23.53493, -48.22692;Itapetininga;Terra
SP 268;198;-23.54197, -48.23044;Itapetininga;Terra
SP 268;199;-23.54657, -48.23778;Itapetininga;Terra
SP 268;217,6;-23.52750, -48.40489;Angatuba;Simples
SP 268;218;-23.52625, -48.40834;Angatuba;Simples
SP 268;219;-23.52079, -48.41408;Angatuba;Simples
SP 268;220;-23.51303, -48.41434;Angatuba;Simples
SP 268;221;-23.50532, -48.41617;Angatuba;Simples
SP 268;222;-23.49862, -48.41704;Angatuba;Simples
SP 268;222,4;-23.49578, -48.41620;Angatuba;Simples
SP 268;224,2;-23.48493, -48.41720;Angatuba;Simples
SP 268;225;-23.47945, -48.41966;Angatuba;Simples
SP 268;226;-23.47103, -48.42152;Angatuba;Simples
SP 268;227;-23.46313, -48.42158;Angatuba;Simples
SP 268;228;-23.45410, -48.42290;Angatuba;Simples
SP 268;229;-23.44608, -48.42558;Angatuba;Simples
SP 268;230;-23.43040, -48.43182;Angatuba;Terra
SP 268;231;-23.43217, -48.43737;Angatuba;Terra
SP 268;232;-23.42474, -48.44210;Angatuba;Terra
SP 268;233;-23.41799, -48.44766;Angatuba;Terra
SP 268;234;-23.41979, -48.45551;Angatuba;Terra
SP 268;235;-23.42352, -48.46435;Angatuba;Terra
SP 268;235,6;-23.42796, -48.46798;Angatuba;Terra
SP 268;236;-23.43028, -48.47001;Angatuba;Terra
SP 268;237;-23.42482, -48.47647;Angatuba;Terra
SP 268;237,1;-23.42451, -48.47824;Angatuba;Terra
SP 268;238;-23.42470, -48.48648;Angatuba;Terra
SP 268;239;-23.42113, -48.49484;Angatuba;Terra
SP 268;240;-23.42155, -48.50371;Angatuba;Terra
SP 268;241;-23.42451, -48.51131;Angatuba;Terra
SP 268;242;-23.42534, -48.51947;Angatuba;Terra
SP 268;243;-23.42064, -48.52854;Angatuba;Terra
SP 268;244;-23.41913, -48.53673;Angatuba;Terra
SP 268;245;-23.41689, -48.54576;Angatuba;Terra
SP 268;246;-23.41521, -48.55603;Angatuba;Terra
SP 268;247;-23.41344, -48.56422;Angatuba;Terra
SP 268;248;-23.42141, -48.56871;Angatuba;Terra
SP 268;249;-23.42494, -48.57783;Angatuba;Terra
SP 268;250;-23.42758, -48.58698;Angatuba;Terra
SP 268;251;-23.42982, -48.59574;Angatuba;Terra
SP 268;252;-23.435360, -48.60365;Angatuba;Terra
SP 268;253;-23.43294, -48.61373;Angatuba;Terra
SP 268;254;-23.42832, -48.62080;Angatuba;Terra
SP 268;255;-23.42321, -48.62857;Angatuba;Terra
SP 268;256;-23.41702, -48.63587;Angatuba;Terra
SP 268;257;-23.41545, -48.64532;Angatuba;Terra
SP 268;258;-23.41280, -48.65472;Angatuba;Terra
SP 268;259;-23.41076, -48.66427;Angatuba;Terra
SP 268;260;-23.41062, -48.67407;Angatuba;Terra
SP 268;260,6;-23.41098, -48.68247;Angatuba;Terra
SP 268;273,4;-23.38824, -48.72903;Paranapanema;Terra
SP 268;274;-23.38738, -48.73449;Paranapanema;Terra
SP 268;275;-23.38843, -48.74417;Paranapanema;Terra
SP 268;276;-23.39002, -48.75328;Paranapanema;Terra
SP 268;277;-23.39658, -48.75997;Paranapanema;Terra
SP 268;278;-23.39690, -48.76953;Paranapanema;Terra
SP 268;279;-23.39995, -48.77872;Paranapanema;Terra
SP 268;280;-23.40526, -48.78575;Paranapanema;Terra
SP 268;281;-23.41194, -48.79185;Paranapanema;Terra
SP 268;282;-23.41530, -48.80049;Paranapanema;Terra
SP 268;283;-23.41566, -48.81054;Paranapanema;Terra
SP 268;284;-23.41498, -48.81995;Paranapanema;Terra
SP 268;285;-23.41535, -48.82831;Paranapanema;Terra
SP 268;286;-23.42270, -48.83127;Paranapanema;Terra
SP 268;287;-23.43158, -48.82889;Paranapanema;Terra
SP 268;288;-23.43709, -48.82219;Paranapanema;Terra
SP 268;289;-23.44504, -48.81760;Paranapanema;Terra
SP 268;289,5;-23.44845, -48.81583;Paranapanema;Terra
SP 268;303;-23.33067, -49.01866;Paranapanema;Terra
SP 268;303;-23.33067, -49.01864;Paranapanema;Terra
SP 268;303,6;-23.32763, -49.01651;Paranapanema;Terra
SP 268;303,6;-23.32740, -49.01631;Paranapanema;Terra
SP 268;304;-23.33814, -49.02407;Paranapanema;Terra
SP 268;304;-23.33814, -49.02407;Paranapanema;Terra
SP 268;305;-23.34547, -49.02994;Paranapanema;Terra
SP 268;305;-23.34547, -49.02994;Paranapanema;Terra
SP 268;305,5;-23.34881, -49.03319;Paranapanema;Terra
SP 268;305,5;-23.34880, -49.03320;Paranapanema;Terra
SP 268;306,7;-23.34901, -49.03357;Itaí;Terra
SP 268;306,7;-23.34913, -49.03366;Itaí;Terra
SP 268;307;-23.35092, -49.03547;Itaí;Terra
SP 268;307;-23.35092, -49.03547;Itaí;Terra
SP 268;308;-23.35757, -49.04204;Itaí;Terra
SP 268;308;-23.35759, -49.04208;Itaí;Terra
SP 268;309;-23.36533, -49.04719;Itaí;Terra
SP 268;309;-23.36533, -49.04719;Itaí;Terra
SP 268;310;-23.37130, -49.05454;Itaí;Terra
SP 268;310;-23.37130, -49.05455;Itaí;Terra
SP 268;311;-23.37926, -49.05893;Itaí;Terra
SP 268;311;-23.37929, -49.05887;Itaí;Terra
SP 268;312;-23.38808, -49.05688;Itaí;Terra
SP 268;312;-23.38802, -49.05687;Itaí;Terra
SP 268;313;-23.39630, -49.05794;Itaí;Terra
SP 268;313;-23.39630, -49.05786;Itaí;Terra
SP 268;314;-23.40077, -49.06602;Itaí;Terra
SP 268;314;-23.40079, -49.06599;Itaí;Terra
SP 268;315;-23.40383, -49.07519;Itaí;Terra
SP 268;315;-23.40383, -49.07531;Itaí;Terra
SP 268;316;-23.40677, -49.08425;Itaí;Terra
SP 268;316;-23.40676, -49.08425;Itaí;Terra
SP 268;317;-23.41253, -49.09183;Itaí;Terra
SP 268;317;-23.41253, -49.09182;Itaí;Terra
SP 268;323,1;-23.40458, -49.11884;Itaí;Terra
SP 268;323,1;-23.40460, -49.11885;Itaí;Terra
SP 268;324;-23.40093, -49.12667;Itaí;Terra
SP 268;324;-23.40093, -49.12672;Itaí;Terra
SP 268;324;-23.40091, -49.12678;Itaí;Terra
SP 268;324;-23.40091, -49.12678;Itaí;Terra
SP 268;325;-23.40004, -49.13664;Itaí;Terra
SP 268;325;-23.40003, -49.13663;Itaí;Terra
SP 268;326;-23.39486, -49.14512;Itaí;Terra
SP 268;326;-23.39488, -49.14508;Itaí;Terra
SP 268;327;-23.38912, -49.15281;Itaí;Terra
SP 268;327;-23.38914, -49.15280;Itaí;Terra
SP 268;328;-23.38434, -49.16154;Itaí;Terra
SP 268;328;-23.38435, -49.16158;Itaí;Terra
SP 268;329;-23.37767, -49.16798;Itaí;Terra
SP 268;329;-23.37768, -49.16797;Itaí;Terra
SP 268;330;-23.37141, -49.17543;Itaí;Terra
SP 268;330;-23.37147, -49.17527;Itaí;Terra
SP 268;331;-23.36539, -49.18332;Itaí;Terra
SP 268;331;-23.36539, -49.18325;Itaí;Terra
SP 268;331,4;-23.36304, -49.18647;Itaí;Terra
SP 268;331,5;-23.36257, -49.18698;Itaí;Terra
SP 268;332;-23.35961, -49.19097;Itaí;Terra
SP 268;332;-23.35966, -49.19095;Itaí;Terra
SP 268;333;-23.35789, -49.20009;Itaí;Terra
SP 268;333;-23.35790, -49.20008;Itaí;Terra
SP 268;334;-23.35518, -49.20948;Itaí;Terra
SP 268;334;-23.35518, -49.20948;Itaí;Terra
SP 270;169;-23.61610, -48.08428;Itapetininga;Multivias
SP 270;170;-23.60745, -48.09198;Itapetininga;Multivias
SP 270;171;-23.60181, -48.09676;Itapetininga;Multivias
SP 270;172;-23.59598, -48.10092;Itapetininga;Multivias
SP 270;173;-23.58773, -48.10863;Itapetininga;Multivias
SP 270;174;-23.58286, -48.11469;Itapetininga;Multivias
SP 270;175;-23.58180, -48.12600;Itapetininga;Multivias
SP 270;176;-23.58271, -48.13489;Itapetininga;Multivias
SP 270;177;-23.58355, -48.14472;Itapetininga;Multivias
SP 270;178;-23.58448, -48.15477;Itapetininga;Multivias
SP 270;179;-23.58177, -48.16396;Itapetininga;Multivias
SP 270;180;-23.57650, -48.17134;Itapetininga;Multivias
SP 270;181;-23.56933, -48.17810;Itapetininga;Multivias
SP 270;182;-23.56576, -48.18649;Itapetininga;Multivias
SP 270;183;-23.56205, -48.19494;Itapetininga;Multivias
SP 270;184;-23.55687, -48.20271;Itapetininga;Multivias
SP 270;185;-23.55276, -48.21140;Itapetininga;Multivias
SP 270;186;-23.54987, -48.22146;Itapetininga;Multivias
SP 270;187;-23.54867, -48.23144;Itapetininga;Multivias
SP 270;188;-23.54769, -48.23993;Itapetininga;Multivias
SP 270;189;-23.54662, -48.24964;Itapetininga;Multivias
SP 270;190;-23.54496, -48.25933;Campina do Monte Alegre;Multivias
SP 270;191;-23.54525, -48.26898;Campina do Monte Alegre;Multivias
SP 270;192;-23.54660, -48.27881;Campina do Monte Alegre;Multivias
SP 270;193;-23.54741, -48.28871;Campina do Monte Alegre;Multivias
SP 270;194;-23.54627, -48.29852;Campina do Monte Alegre;Multivias
SP 270;195;-23.54536, -48.30798;Campina do Monte Alegre;Multivias
SP 270;196;-23.54542, -48.31759;Campina do Monte Alegre;Multivias
SP 270;197;-23.54360, -48.32753;Campina do Monte Alegre;Multivias
SP 270;198;-23.53929, -48.33592;Campina do Monte Alegre;Multivias
SP 270;199;-23.53295, -48.34209;Campina do Monte Alegre;Multivias
SP 270;200;-23.52941, -48.35132;Campina do Monte Alegre;Multivias
SP 270;201;-23.52826, -48.36065;Campina do Monte Alegre;Multivias
SP 270;202;-23.52962, -48.37043;Campina do Monte Alegre;Multivias
SP 270;203;-23.53101, -48.37981;Campina do Monte Alegre;Multivias
SP 270;204;-23.53016, -48.38979;Campina do Monte Alegre;Multivias
SP 270;205;-23.52777, -48.39929;Campina do Monte Alegre;Multivias
SP 270;206;-23.52834, -48.40852;Campina do Monte Alegre;Multivias
SP 270;207;-23.53268, -48.41795;Campina do Monte Alegre;Multivias
SP 270;208;-23.53425, -48.42721;Campina do Monte Alegre;Multivias
SP 270;209;-23.53280, -48.43608;Campina do Monte Alegre;Multivias
SP 270;210;-23.53023, -48.44649;Angatuba;Multivias
SP 270;211;-23.52777, -48.45517;Angatuba;Multivias
SP 270;212;-23.52688, -48.46472;Angatuba;Multivias
SP 270;213;-23.52617, -48.47429;Angatuba;Multivias
SP 270;214;-23.52340, -48.48397;Angatuba;Multivias
SP 270;215;-23.52083, -48.49295;Angatuba;Multivias
SP 270;216;-23.51688, -48.50202;Angatuba;Multivias
SP 270;217;-23.51098, -48.51008;Angatuba;Multivias
SP 270;218;-23.50579, -48.51731;Angatuba;Multivias
SP 270;219;-23.50351, -48.52657;Angatuba;Multivias
SP 270;220;-23.50157, -48.53666;Angatuba;Multivias
SP 270;221;-23.49790, -48.54519;Angatuba;Multivias
SP 270;222;-23.49306, -48.55355;Angatuba;Multivias
SP 270;223;-23.48986, -48.56322;Angatuba;Multivias
SP 270;224;-23.48756, -48.57258;Angatuba;Multivias
SP 270;225;-23.48565, -48.58320;Angatuba;Multivias
SP 270;226;-23.48366, -48.59345;Angatuba;Multivias
SP 270;227;-23.48188, -48.60344;Angatuba;Multivias
SP 270;228;-23.47998, -48.61413;Angatuba;Multivias
SP 270;229;-23.47818, -48.62367;Angatuba;Multivias
SP 270;230;-23.47648, -48.63318;Angatuba;Multivias
SP 270;231;-23.47544, -48.64295;Paranapanema;Multivias
SP 270;232;-23.47524, -48.65284;Paranapanema;Multivias
SP 270;233;-23.47504, -48.66297;Paranapanema;Multivias
SP 270;234;-23.47488, -48.67234;Paranapanema;Multivias
SP 270;235;-23.47467, -48.68227;Paranapanema;Multivias
SP 270;236;-23.47444, -48.69206;Paranapanema;Multivias
SP 270;237;-23.47428, -48.70150;Paranapanema;Multivias
SP 270;238;-23.47408, -48.70961;Paranapanema;Multivias
SP 270;239;-23.47373, -48.72150;Paranapanema;Multivias
SP 270;240;-23.47362, -48.73056;Paranapanema;Multivias
SP 270;241;-23.47334, -48.73752;Paranapanema;Multivias
SP 270;242;-23.47321, -48.74680;Paranapanema;Multivias
SP 270;243;-23.47302, -48.75671;Paranapanema;Multivias
SP 270;244;-23.47280, -48.76792;Paranapanema;Multivias
SP 270;245;-23.46915, -48.77589;Paranapanema;Multivias
SP 270;246;-23.46353, -48.78664;Paranapanema;Multivias
SP 270;247;-23.45909, -48.79506;Paranapanema;Multivias
SP 270;248;-23.45594, -48.80095;Paranapanema;Multivias
SP 270;249;-23.45156, -48.80913;Paranapanema;Multivias
SP 270;250;-23.44884, -48.81843;Paranapanema;Multivias
SP 270;251;-23.45074, -48.82806;Paranapanema;Multivias
SP 270;252;-23.44851, -48.84009;Paranapanema;Multivias
SP 270;253;-23.44455, -48.84449;Paranapanema;Multivias
SP 270;254;-23.44101, -48.85288;Paranapanema;Multivias
SP 270;255;-23.43686, -48.86060;Paranapanema;Multivias
SP 270;256;-23.43041, -48.86578;Paranapanema;Multivias
SP 270;257;-23.42447, -48.87339;Paranapanema;Multivias
SP 270;259;-23.41204, -48.88849;Paranapanema;Multivias
SP 270;260;-23.40596, -48.89558;Paranapanema;Multivias
SP 270;261;-23.39974, -48.90288;Paranapanema;Multivias
SP 270;262;-23.39354, -48.91014;Paranapanema;Multivias
SP 270;263;-23.39022, -48.91822;Paranapanema;Multivias
SP 270;264;-23.38355, -48.92558;Paranapanema;Multivias
SP 270;265;-23.38093, -48.93462;Paranapanema;Multivias
SP 270;266;-23.38177, -48.94896;Paranapanema;Multivias
SP 270;267;-23.38268, -48.95941;Paranapanema;Multivias
SP 270;268;-23.38310, -48.96860;Paranapanema;Multivias
SP 270;269;-23.37986, -48.97762;Paranapanema;Multivias
SP 270;270;-23.37794, -48.98256;Paranapanema;Multivias
SP 270;271;-23.37788, -48.98263;Paranapanema;Multivias
SP 270;272;-23.37118, -49.00004;Paranapanema;Multivias
SP 270;273;-23.36672, -49.00895;Itaí;Multivias
SP 270;274;-23.36108, -49.01671;Itaí;Multivias
SP 270;275;-23.35553, -49.02433;Itaí;Multivias
SP 270;276;-23.34980, -49.03213;Itaí;Multivias
SP 270;277;-23.34430, -49.03966;Itaí;Multivias
SP 270;278;-23.33885, -49.04714;Itaí;Multivias
SP 270;279;-23.33332, -49.05524;Itaí;Multivias
SP 270;280;-23.32971, -49.06447;Itaí;Multivias
SP 270;281;-23.32594, -49.07414;Itaí;Multivias
SP 270;282;-23.32280, -49.08226;Itaí;Multivias
SP 270;283;-23.31940, -49.09128;Itaí;Multivias
SP 270;284;-23.31586, -49.10035;Itaí;Multivias
SP 270;285;-23.31238, -49.10941;Itaí;Multivias
SP 270;286;-23.30874, -49.11878;Itaí;Multivias
SP 270;287;-23.30538, -49.12744;Itaí;Multivias
SP 270;288;-23.30193, -49.13651;Itaí;Multivias
SP 270;289;-23.29729, -49.14470;Itaí;Multivias
SP 270;290;-23.29240, -49.15298;Itaí;Multivias
SP 270;291;-23.28788, -49.16136;Itaí;Multivias
SP 270;292;-23.28475, -49.17108;Itaí;Multivias
SP 270;293;-23.28185, -49.18008;Itaí;Multivias
SP 270;294;-23.27884, -49.18932;Itaí;Multivias
SP 270;295;-23.27968, -49.19823;Itaí;Multivias
SP 275;324,5;-23.85458, -49.15564;Itaberá;Simples
SP 275;325;-23.85326, -49.16020;Itaberá;Simples
SP 275;326;-23.85197, -49.16961;Itaberá;Simples
SP 275;327;-23.85111, -49.17932;Itaberá;Simples
SP 275;328;-23.85746, -49.18582;Itaberá;Simples
SP 275;329;-23.86224, -49.19472;Itaberá;Simples
SP 275;330;-23.86659, -49.20143;Itaberá;Simples
SP 275;331;-23.86583, -49.21000;Itaberá;Simples
SP 275;332;-23.86262, -49.21954;Itaberá;Simples
SP 275;333;-23.86090, -49.22843;Itaberá;Simples
SP 275;334;-23.85768, -49.23771;Itaberá;Terra
SP 275;335;-23.85618, -49.24799;Itaberá;Terra
SP 275;336;-23.85448, -49.25683;Itaberá;Terra
SP 275;337;-23.85583, -49.26662;Itaberá;Terra
SP 275;338;-23.85896, -49.27501;Itaberá;Terra
SP 275;339;-23.85837, -49.28458;Itaberá;Terra
SP 275;340;-23.85984, -49.29367;Itaberá;Terra
SP 275;341;-23.86169, -49.30204;Itaberá;Terra
SP 275;342;-23.86662, -49.30911;Itaberá;Terra
SP 275;343;-23.86997, -49.31748;Itaberá;Terra
SP 275;344;-23.87244, -49.32417;Itaberá;Terra
SP 275;345;-23.86827, -49.33190;Itaberá;Terra
SP 275;346;-23.87418, -49.33855;Riversul;Terra
SP 275;347;-23.87748, -49.34589;Riversul;Terra
SP 275;348;-23.87628, -49.35511;Riversul;Terra
SP 275;348,8;-23.87749, -49.36671;Riversul;Terra
SP 281;0;-24.09759, -49.33250;Itararé;Simples
SP 281;1;-24.09014, -49.33790;Itararé;Simples
SP 281;3;-24.07682, -49.33106;Itararé;Simples
SP 281;4;-24.06888, -49.33194;Itararé;Simples
SP 281;5;-24.06044, -49.33518;Itararé;Simples
SP 281;6;-24.05481, -49.34264;Itararé;Simples
SP 281;7;-24.04589, -49.34809;Itararé;Simples
SP 281;8;-24.04064, -49.34469;Itararé;Simples
SP 281;9;-24.03187, -49.33981;Itararé;Simples
SP 281;10;-24.02883, -49.33384;Itararé;Simples
SP 281;11;-24.02157, -49.33164;Itararé;Simples
SP 281;12;-24.01463, -49.33146;Itararé;Simples
SP 281;13;-24.00597, -49.33014;Itararé;Simples
SP 281;14;-23.99901, -49.32732;Itararé;Simples
SP 281;15;-23.99305, -49.31925;Itararé;Simples
SP 281;16;-23.98697, -49.31984;Itararé;Simples
SP 281;17;-23.98414, -49.32541;Itararé;Simples
SP 281;18;-23.97794, -49.32593;Itararé;Simples
SP 281;19;-23.97081, -49.32270;Itararé;Simples
SP 281;20;-23.96531, -49.32756;Itararé;Simples
SP 281;21;-23.95916, -49.33306;Itararé;Simples
SP 281;22;-23.95602, -49.34082;Itararé;Simples
SP 281;23;-23.94941, -49.34801;Itararé;Simples
SP 281;24;-23.94551, -49.35220;Itararé;Simples
SP 281;25;-23.94381, -49.36043;Itararé;Simples
SP 281;26;-23.93592, -49.36298;Itararé;Simples
SP 281;27;-23.92844, -49.36122;Itararé;Simples
SP 281;28;-23.92241, -49.36489;Itararé;Simples
SP 281;29;-23.91511, -49.37218;Riversul;Simples
SP 281;30;-23.90677, -49.37381;Riversul;Simples
SP 281;31;-23.90243, -49.37162;Riversul;Simples
SP 281;32;-23.89545, -49.36798;Riversul;Simples
SP 281;33;-23.88521, -49.36846;Riversul;Simples
